"index","uuid","stage_started_datetime","stage_completed_datetime","stage_delta","prod_started_datetime","prod_completed_datetime","prod_delta"
20,96d04cca-3d0a-46f1-9343-1cf740211202,2021-12-02 00:59:19.303878+00:00,2021-12-02 00:59:21.864703+00:00,2,2021-12-02 00:59:13.348443+00:00,2021-12-02 00:59:14.529527+00:00,1
21,23b3ba49-344c-469d-8290-213b50211202,2021-12-02 00:59:12.009829+00:00,2021-12-02 00:59:13.610478+00:00,1,2021-12-02 00:58:43.476586+00:00,2021-12-02 00:58:46.516148+00:00,3
22,543d7d57-4fad-4612-a51c-9d8290211202,2021-12-02 01:03:54.142179+00:00,2021-12-02 01:04:01.719590+00:00,7,2021-12-02 01:03:42.909260+00:00,2021-12-02 01:03:48.720074+00:00,5
23,07202ea2-e15c-49eb-a7ba-73ce50211202,2021-12-02 00:54:23.096803+00:00,2021-12-02 00:54:29.531861+00:00,6,2021-12-02 00:53:43.365027+00:00,2021-12-02 00:53:46.830818+00:00,3
24,15ef4494-1059-47c1-b33b-213c00211202,2021-12-02 01:36:01.814546+00:00,2021-12-02 01:36:04.074750+00:00,2,2021-12-02 01:35:55.595364+00:00,2021-12-02 01:35:58.101457+00:00,2
25,ed192bab-d0ec-4311-8068-f46600211202,2021-12-02 01:46:58.538221+00:00,2021-12-02 01:47:01.727980+00:00,3,2021-12-02 01:46:39.105108+00:00,2021-12-02 01:46:43.145058+00:00,4
26,c7dcb610-d808-43ba-96cb-3beb30211202,2021-12-02 01:24:05.662715+00:00,2021-12-02 01:24:06.819615+00:00,1,2021-12-02 01:22:42.232803+00:00,2021-12-02 01:22:44.743366+00:00,2
27,7cb8a4e1-38ba-4db0-8356-fe9060211202,2021-12-02 01:24:13.653272+00:00,2021-12-02 01:24:17.398864+00:00,3,2021-12-02 01:24:11.354455+00:00,2021-12-02 01:24:16.271616+00:00,4
28,9110c6d5-186f-4c3c-9980-6ca420211202,2021-12-02 01:44:41.476684+00:00,2021-12-02 01:44:44.418811+00:00,2,2021-12-02 01:44:24.188889+00:00,2021-12-02 01:44:27.081016+00:00,2
29,bebd905f-2e4f-4cf9-95ec-411e40211202,2021-12-02 01:35:46.958400+00:00,2021-12-02 01:35:52.554489+00:00,5,2021-12-02 01:35:40.854154+00:00,2021-12-02 01:35:47.327036+00:00,6
30,2faea62f-937d-4f73-a130-266950211202,2021-12-02 01:31:12.955269+00:00,2021-12-02 01:31:15.015376+00:00,2,2021-12-02 01:30:32.831929+00:00,2021-12-02 01:30:36.298215+00:00,3
31,953e8aaa-f395-4bba-9422-65e340211202,2021-12-02 01:51:12.155493+00:00,2021-12-02 01:51:15.453683+00:00,3,2021-12-02 01:50:31.783866+00:00,2021-12-02 01:50:37.432502+00:00,5
32,18b60dbb-9823-4228-bed2-9cc7c0211202,2021-12-02 02:03:50.728935+00:00,2021-12-02 02:03:53.149515+00:00,2,2021-12-02 02:03:51.865790+00:00,2021-12-02 02:03:55.607076+00:00,3
33,bcae08ec-6117-4602-af72-685390211202,2021-12-02 01:51:11.984726+00:00,2021-12-02 01:51:17.589706+00:00,5,2021-12-02 01:50:39.245688+00:00,2021-12-02 01:50:44.065127+00:00,4
34,27d0514f-7cb5-4fb3-9bb9-1123e0211202,2021-12-02 02:10:57.967194+00:00,2021-12-02 02:10:59.257321+00:00,1,2021-12-02 02:10:51.305428+00:00,2021-12-02 02:10:54.443113+00:00,3
35,8e2ac9cc-bc4c-4242-af55-ebf1d0211202,2021-12-02 02:12:10.625938+00:00,2021-12-02 02:12:11.607574+00:00,0,2021-12-02 02:11:46.790128+00:00,2021-12-02 02:11:48.773995+00:00,1
36,0a4b04fd-f018-4be7-8928-6690c0211202,2021-12-02 02:09:16.643373+00:00,2021-12-02 02:09:17.593755+00:00,0,2021-12-02 02:09:15.106906+00:00,2021-12-02 02:09:17.213147+00:00,2
37,fbe98123-7df8-4ddf-b4dd-0c0d10211202,2021-12-02 02:09:02.096635+00:00,2021-12-02 02:09:03.497883+00:00,1,2021-12-02 02:09:02.802170+00:00,2021-12-02 02:09:05.707202+00:00,2
38,f3427b19-d9a0-4887-8f7e-275a30211202,2021-12-02 02:09:45.994551+00:00,2021-12-02 02:09:55.592524+00:00,9,2021-12-02 02:09:40.737320+00:00,2021-12-02 02:09:45.767751+00:00,5
39,600c48ac-fc1d-4ed2-a5a7-f92f40211202,2021-12-02 02:46:28.506989+00:00,2021-12-02 02:46:31.129143+00:00,2,2021-12-02 02:46:00.475288+00:00,2021-12-02 02:46:05.187408+00:00,4
40,b6f57def-ac9e-4144-b4e1-6cdaa0211202,2021-12-02 02:40:43.410065+00:00,2021-12-02 02:40:44.743897+00:00,1,2021-12-02 02:40:17.824124+00:00,2021-12-02 02:40:21.655137+00:00,3
41,90a1c374-ba9a-427b-8df1-bb75f0211202,2021-12-02 02:34:56.342505+00:00,2021-12-02 02:35:02.432999+00:00,6,2021-12-02 02:34:34.085315+00:00,2021-12-02 02:34:41.099631+00:00,7
42,416850cc-0324-4d69-8483-ec85c0211202,2021-12-02 02:52:58.994421+00:00,2021-12-02 02:53:01.606205+00:00,2,2021-12-02 02:52:44.280969+00:00,2021-12-02 02:52:49.058529+00:00,4
43,56c469f2-454a-45cb-be7f-0206b0211202,2021-12-02 02:37:13.626742+00:00,2021-12-02 02:37:15.294642+00:00,1,2021-12-02 02:36:33.117409+00:00,2021-12-02 02:36:35.124834+00:00,2
44,cc223431-1567-4367-b2c7-559150211202,2021-12-02 03:26:35.406822+00:00,2021-12-02 03:26:39.834248+00:00,4,2021-12-02 03:26:31.579032+00:00,2021-12-02 03:26:39.839566+00:00,8
45,20c2aacb-0f17-4c04-b2a6-21acf0211202,2021-12-02 03:03:21.051426+00:00,2021-12-02 03:03:25.336131+00:00,4,2021-12-02 03:03:18.700208+00:00,2021-12-02 03:03:23.772040+00:00,5
46,1f6d1368-7414-4f5c-89a9-3d25a0211202,2021-12-02 03:14:04.376541+00:00,2021-12-02 03:14:06.394284+00:00,2,2021-12-02 03:13:48.550240+00:00,2021-12-02 03:13:49.463625+00:00,0
47,4ef15442-fdeb-4b6b-9f5e-0a14f0211202,2021-12-02 03:20:55.526453+00:00,2021-12-02 03:20:59.068806+00:00,3,2021-12-02 03:20:17.322651+00:00,2021-12-02 03:20:23.631547+00:00,6
48,11a33017-a048-4ec1-8af4-8e9c60211202,2021-12-02 03:47:05.528704+00:00,2021-12-02 03:47:06.558129+00:00,1,2021-12-02 03:47:05.963324+00:00,2021-12-02 03:47:09.002403+00:00,3
