"Time","processor.rule.act.timing.mean"
1638488700000,3174.216980540964
1638489000000,3028.69237128937
1638489300000,2568.617777408417
1638489600000,1941.6871700700663
1638489900000,2914.0445171533797
1638490200000,3652.6284036768666
1638490500000,2595.7328095476532
1638490800000,4244.6134762689435
1638491100000,3020.7821044813736
1638491400000,2655.6538279953647
1638491700000,5030.782488853636
1638492000000,4778.116810777748
1638492300000,1901.215805450315
1638492600000,5594.728344496492
1638492900000,4679.718517728992
1638493200000,2078.971702469664
1638493500000,2087.6349167563617
1638493800000,3043.6110553260546
1638494100000,2460.032930209811
1638494400000,1286.6302836670895
1638494700000,1363.145903799644
1638495000000,3355.113715866173
1638495300000,3782.272444434294
1638495600000,3326.5479349758484
1638495900000,2699.7141291287444
1638496200000,2239.4634806790755
1638496500000,3758.8064634549028
1638496800000,5589.260197739324
1638497100000,3930.9392899128825
1638497400000,2721.097493843513
1638497700000,5983.355608747346
1638498000000,4574.755768171129
1638498300000,3497.6105097761906
1638498600000,2736.860723795068
1638498900000,2747.698291160528
1638499200000,3196.0195940739663
1638499500000,3338.073283716585
1638499800000,5174.649600735034
1638500100000,2858.487019450604
1638500400000,2547.4134324193524
1638500700000,2052.123028206503
1638501000000,2384.4939790280278
1638501300000,5232.796516655503
1638501600000,1794.8348430896294
1638501900000,4055.3459162497347
1638502200000,4718.414932011254
1638502500000,4859.232744029782
1638502800000,1560.0383497878126
1638503100000,3269.754147136501
1638503400000,3921.9233764920923
1638503700000,1856.696801011193
1638504000000,6615.378521697335
1638504300000,4293.7955575585875
1638504600000,2668.587371266646
1638504900000,3668.4459688522998
1638505200000,1960.3129776252597
1638505500000,4054.9114540755
1638505800000,4125.986079488257
1638506100000,2178.6487590034994
1638506400000,1839.861382818968
1638506700000,4947.532330778308
1638507000000,4259.795509704199
1638507300000,2343.300723851747
1638507600000,2946.3453493066786
1638507900000,3100.1462751729805
1638508200000,2785.0292985181195
1638508500000,3074.2372873016093
1638508800000,3231.6195764279814
1638509100000,2780.0285228259345
1638509400000,3589.5955993756916
1638509700000,2743.3856129774026
1638510000000,1715.287524489695
1638510300000,3020.265798082385
1638510600000,2497.6702158371236
1638510900000,2948.8454992667616
1638511200000,5823.92689442304
1638511500000,2875.101449670841
1638511800000,3482.103800590001
1638512100000,2197.1721998430703
1638512400000,2625.012864550081
1638512700000,3295.575756757206
1638513000000,3350.9568979667774
1638513300000,1431.3293257678963
1638513600000,4429.781559409082
1638513900000,2311.8879174224426
1638514200000,4829.538216581206
1638514500000,1476.0486628822243
1638514800000,1600.8124360803458
1638515100000,1680.6147512881776
1638515400000,2199.101374485333
1638515700000,2306.6593715347803
1638516000000,2722.0533416624157
1638516300000,1840.036705306678
1638516600000,2589.365371967287
1638516900000,1937.3157026170436
1638517200000,2523.967385842499
